Account ID,Account Type,Branch,Customer Type,Account Balance,KYC Status,Last Transaction Date,Email Contact Attempt,SMS Contact Attempt,Phone Call Attempt,Account Status
ACC0000,Investment,Abu Dhabi,Retail,52160.33,Expired,2021-12-01,Yes,Yes,No,Dormant
ACC0001,Safe Deposit,Fujairah,Youth,228942.59,Expired,2021-06-11,No,Yes,Yes,Dormant
ACC0002,Investment,Sharjah,Corporate,408810.48,Valid,2021-08-01,No,Yes,No,Dormant
ACC0003,Savings/Call/Current,Abu Dhabi,Corporate,315622.58,Valid,2021-10-04,No,Yes,Yes,Dormant
ACC0004,Investment,Fujairah,Corporate,169346.89,Valid,2021-06-14,No,Yes,No,Dormant
ACC0005,Investment,Abu Dhabi,Corporate,239114.7,Valid,2021-10-10,Yes,No,No,Dormant
ACC0006,Safe Deposit,Sharjah,VIP,137589.79,Expired,2021-05-16,Yes,Yes,No,Dormant
ACC0007,Savings/Call/Current,Al Ain,VIP,266282.28,Expired,2021-10-22,Yes,Yes,No,Dormant
ACC0008,Savings/Call/Current,Dubai,Retail,498304.67,Expired,2022-02-22,Yes,Yes,No,Dormant
ACC0009,Fixed Deposit,Sharjah,Youth,264214.65,Valid,2022-03-09,Yes,Yes,Yes,Dormant
ACC0010,Safe Deposit,Dubai,Youth,257325.76,Expired,2021-09-17,No,Yes,No,Dormant
ACC0011,Safe Deposit,Abu Dhabi,Retail,26898.57,Valid,2022-02-21,No,Yes,Yes,Dormant
ACC0012,Savings/Call/Current,Al Ain,VIP,203199.92,Valid,2021-10-31,Yes,No,Yes,Dormant
ACC0013,Fixed Deposit,Abu Dhabi,VIP,284311.04,Expired,2021-12-07,No,Yes,Yes,Dormant
ACC0014,Fixed Deposit,Fujairah,VIP,452480.12,Valid,2021-11-11,Yes,No,No,Dormant
ACC0015,Investment,Fujairah,Corporate,283005.05,Expired,2021-11-11,Yes,Yes,No,Dormant
ACC0016,Fixed Deposit,Fujairah,VIP,26697.15,Valid,2021-12-13,No,No,No,Dormant
ACC0017,Savings/Call/Current,Dubai,VIP,369857.14,Expired,2022-01-09,Yes,No,No,Dormant
ACC0018,Safe Deposit,Fujairah,VIP,65645.32,Expired,2022-03-21,Yes,Yes,No,Dormant
ACC0019,Safe Deposit,Fujairah,VIP,154111.98,Valid,2022-01-11,No,Yes,Yes,Dormant
ACC0020,Savings/Call/Current,Al Ain,Corporate,380219.36,Expired,2022-02-26,Yes,No,Yes,Dormant
ACC0021,Fixed Deposit,Sharjah,Retail,473629.25,Expired,2022-03-28,No,Yes,No,Dormant
